taxonID,scientificName,taxonRank,threatStatus,kingdom,phylum,class,order,family,establishmentMeans,scientific_std,matched_any,matched_grid10,matched_grid50,n_grids
urn:lsid:dyntaxa.se:TaxonName:20799,Sphaerius obsidianus,species,"",Animalia,Arthropoda,Insecta,Coleoptera,Sphaeriusidae,"",sphaerius obsidianus,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:Taxon:106768,Sphecodes spinulosus,species,CR,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,native,sphecodes spinulosus,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:241952,Sphenolobus ascendens,species,"",Plantae,Marchantiophyta,Marchantiopsida,Jungermanniales,Jungermanniaceae,"",sphenolobus ascendens,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:141086,Sphex abietina,species,"",Animalia,Arthropoda,Insecta,Hymenoptera,Orussidae,"",sphex abietina,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:268821,Sphex crabroneus,species,"",Animalia,Arthropoda,Insecta,Hymenoptera,Crabronidae,"",sphex crabroneus,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:268635,Sphex fossorius,species,"",Animalia,Arthropoda,Insecta,Hymenoptera,Crabronidae,"",sphex fossorius,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:270194,Sphex ignita,species,"",Animalia,Arthropoda,Insecta,Hymenoptera,Chrysididae,"",sphex ignita,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:156257,Sphex maxillosus,species,"",Animalia,Arthropoda,Insecta,Hymenoptera,Sphecidae,"",sphex maxillosus,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:104889,Sphex rufocinctus,species,"",Animalia,Arthropoda,Insecta,Hymenoptera,Sphecidae,"",sphex rufocinctus,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:323997,Sphex signata,species,"",Animalia,Arthropoda,Insecta,Hymenoptera,Colletidae,"",sphex signata,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:13840,Sphinctrina gelasinata,species,"",Fungi,Ascomycota,Eurotiomycetes,Mycocaliciales,Sphinctrinaceae,"",sphinctrina gelasinata,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:13838,Sphinctrina kylemoriensis,species,"",Fungi,Ascomycota,Eurotiomycetes,Mycocaliciales,Sphinctrinaceae,"",sphinctrina kylemoriensis,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:13835,Sphinctrina microcephala,species,"",Fungi,Ascomycota,Eurotiomycetes,Mycocaliciales,Sphinctrinaceae,"",sphinctrina microcephala,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:13839,Sphinctrina obscurata,species,"",Fungi,Ascomycota,Eurotiomycetes,Mycocaliciales,Sphinctrinaceae,"",sphinctrina obscurata,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:13837,Sphinctrina pedata,species,"",Fungi,Ascomycota,Eurotiomycetes,Mycocaliciales,Sphinctrinaceae,"",sphinctrina pedata,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:260272,Sphinx bembeciformis,species,"",Animalia,Arthropoda,Insecta,Lepidoptera,Sesiidae,"",sphinx bembeciformis,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:260273,Sphinx crabroniformis,species,"",Animalia,Arthropoda,Insecta,Lepidoptera,Sesiidae,"",sphinx crabroniformis,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:260241,Sphinx filipendulae,species,"",Animalia,Arthropoda,Insecta,Lepidoptera,Zygaenidae,"",sphinx filipendulae,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:260321,Sphinx ichneumoniformis,species,"",Animalia,Arthropoda,Insecta,Lepidoptera,Sesiidae,"",sphinx ichneumoniformis,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:260242,Sphinx lonicerae,species,"",Animalia,Arthropoda,Insecta,Lepidoptera,Zygaenidae,"",sphinx lonicerae,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:260170,Sphinx minos,species,"",Animalia,Arthropoda,Insecta,Lepidoptera,Zygaenidae,"",sphinx minos,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:260158,Sphinx statices,species,"",Animalia,Arthropoda,Insecta,Lepidoptera,Zygaenidae,"",sphinx statices,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:105957,Sphinx tityus,species,"",Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,"",sphinx tityus,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:260318,Sphinx vespiformis,species,"",Animalia,Arthropoda,Insecta,Lepidoptera,Sesiidae,"",sphinx vespiformis,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:260240,Sphinx viciae,species,"",Animalia,Arthropoda,Insecta,Lepidoptera,Zygaenidae,"",sphinx viciae,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:Taxon:102551,Sphiximorpha subsessillis,species,EN,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,native,sphiximorpha subsessillis,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:114234,Spicaria dubia,species,"",Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,"",spicaria dubia,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:6304,Spiloma melaleucum,species,"",Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Lecanographaceae,"",spiloma melaleucum,FALSE,FALSE,FALSE,0
