taxonID,scientificName,taxonRank,threatStatus,scientific_std,matched_any,matched_grid10,matched_grid50
urn:lsid:dyntaxa.se:Taxon:248933,Cortinarius xanthosuavis,species,EN,cortinarius xanthosuavis,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:1874,Cotoneaster kullensis,species,VU,cotoneaster kullensis,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:511,Crustomyces subabruptus,species,VU,crustomyces subabruptus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:100768,Cucullia scrophulariae,species,VU,cucullia scrophulariae,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:239219,Cuphophyllus hygrocyboides,species,VU,cuphophyllus hygrocyboides,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:807,Cuphophyllus radiatus,species,VU,cuphophyllus radiatus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:3841,Dacrymyces enatus,species,EN,dacrymyces enatus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:224698,Dactylis polygama,species,EN,dactylis polygama,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:100327,Dactylotula kinkerella,species,CR,dactylotula kinkerella,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:100824,Dichomeris limosella,species,VU,dichomeris limosella,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:534,Dicranella riparia,species,VU,dicranella riparia,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:542,Didymodon asperifolius,species,EN,didymodon asperifolius,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:546,Didymodon sinuosus,species,EN,didymodon sinuosus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:547,Didymodon spadiceus,species,VU,didymodon spadiceus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:102421,Digitivalva arnicella,species,VU,digitivalva arnicella,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:102422,Digitivalva valeriella,species,CR,digitivalva valeriella,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:218137,Doto cuspidata,species,VU,doto cuspidata,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:218140,Doto tuberculata,species,VU,doto tuberculata,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:574,Elaphomyces striatosporus,species,VU,elaphomyces striatosporus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:215256,Epermenia falciformis,species,VU,epermenia falciformis,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:618,Ephemerum sessile,species,VU,ephemerum sessile,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:100793,Epicallima formosella,species,CR,epicallima formosella,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:102437,Eteobalea tririvella,species,CR,eteobalea tririvella,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:100969,Evagetes gibbulus,species,CR,evagetes gibbulus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:6033040,Fjordia chriskaugei,species,VU,fjordia chriskaugei,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:2006,Floccularia rickenii,species,EN,floccularia rickenii,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:250285,Frantisekia mentschulensis,species,EN,frantisekia mentschulensis,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:417,Funalia gallica,species,EN,funalia gallica,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:1578,Funalia trogii,species,CR,funalia trogii,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:251350,Gasteruption minutum,species,VU,gasteruption minutum,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:686,Geastrum pseudolimbatum,species,VU,geastrum pseudolimbatum,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:2011,Geoglossum littorale,species,VU,geoglossum littorale,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:102446,Gnorimoschema herbichi,species,VU,gnorimoschema herbichi,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:101001,Gnorimoschema valesiellum,species,VU,gnorimoschema valesiellum,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:2013,Griseoporia carbonaria,species,EN,griseoporia carbonaria,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:218153,Gulenia borealis,species,VU,gulenia borealis,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:6033041,Gulenia monicae,species,VU,gulenia monicae,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:1144,Gyalecta carneola,species,VU,gyalecta carneola,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:1185,Gyalecta hypoleuca,species,EN,gyalecta hypoleuca,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:747,Gypsophila muralis,species,EN,gypsophila muralis,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:556,Gyromitra fastigiata,species,EN,gyromitra fastigiata,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:102681,Halictus quadricinctus,species,CR,halictus quadricinctus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:217847,Halipteris finmarchica,species,VU,halipteris finmarchica,FALSE,FALSE,FALSE
