taxonID,scientificName,taxonRank,threatStatus,family,order,priority,n_cells_10km,n_cells_50km,total_occ_10km
urn:lsid:dyntaxa.se:Taxon:729,Grimmia plagiopodia,species,CR,Grimmiaceae,Grimmiales,Threatened - Poorly Sampled,1,1,14
urn:lsid:dyntaxa.se:Taxon:102681,Halictus quadricinctus,species,CR,Halictidae,Hymenoptera,Threatened - Not in GBIF,,,
urn:lsid:dyntaxa.se:Taxon:754,Halimione portulacoides,species,CR,Amaranthaceae,Caryophyllales,Threatened - Poorly Sampled,1,1,47
urn:lsid:dyntaxa.se:Taxon:234287,Haploops tenuis,species,CR,Ampeliscidae,Amphipoda,Threatened - Poorly Sampled,1,1,120
urn:lsid:dyntaxa.se:Taxon:233497,Haploops tubicola,species,CR,Ampeliscidae,Amphipoda,Threatened - Poorly Sampled,1,1,244
urn:lsid:dyntaxa.se:Taxon:101045,Harpalus autumnalis,species,CR,Carabidae,Coleoptera,Threatened - Poorly Sampled,1,1,51
urn:lsid:dyntaxa.se:Taxon:101056,Helcomyza ustulata,species,CR,Helcomyzidae,Diptera,Threatened - Poorly Sampled,1,1,54
urn:lsid:dyntaxa.se:Taxon:769,Hericium erinaceus,species,CR,Hericiaceae,Russulales,Threatened - Poorly Sampled,1,1,176
urn:lsid:dyntaxa.se:Taxon:231477,Hieracium abiegni,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,4
urn:lsid:dyntaxa.se:Taxon:231507,Hieracium amoenifrons,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,6
urn:lsid:dyntaxa.se:Taxon:231590,Hieracium chloeropis,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,15
urn:lsid:dyntaxa.se:Taxon:231240,Hieracium concinnatum,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,38
urn:lsid:dyntaxa.se:Taxon:231249,Hieracium ctenophyllum,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,14
urn:lsid:dyntaxa.se:Taxon:231632,Hieracium daniciforme,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,8
urn:lsid:dyntaxa.se:Taxon:231256,Hieracium denigrans,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,10
urn:lsid:dyntaxa.se:Taxon:231278,Hieracium femsioënse,species,CR,Asteraceae,Asterales,Threatened - Not in GBIF,,,
urn:lsid:dyntaxa.se:Taxon:231732,Hieracium intermarginatum,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,3
urn:lsid:dyntaxa.se:Taxon:231770,Hieracium ludificans,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,9
urn:lsid:dyntaxa.se:Taxon:231786,Hieracium mallopodoides,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,5
urn:lsid:dyntaxa.se:Taxon:231789,Hieracium manocolum,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,6
urn:lsid:dyntaxa.se:Taxon:231807,Hieracium molucratum,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,6
urn:lsid:dyntaxa.se:Taxon:251316,Hieracium mucrodentatum,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,4
urn:lsid:dyntaxa.se:Taxon:231814,Hieracium multisigne,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,2
urn:lsid:dyntaxa.se:Taxon:231859,Hieracium oligolepium,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,8
urn:lsid:dyntaxa.se:Taxon:231874,Hieracium pachycalamum,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,5
urn:lsid:dyntaxa.se:Taxon:231881,Hieracium parmiferum,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,3
urn:lsid:dyntaxa.se:Taxon:231904,Hieracium phaleratum,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,41
urn:lsid:dyntaxa.se:Taxon:231910,Hieracium placibile,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,4
urn:lsid:dyntaxa.se:Taxon:231382,Hieracium polyschistomorphum,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,16
urn:lsid:dyntaxa.se:Taxon:231956,Hieracium psiloloma,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,2
urn:lsid:dyntaxa.se:Taxon:231958,Hieracium psittacinum,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,5
urn:lsid:dyntaxa.se:Taxon:231969,Hieracium pycnotomum,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,12
urn:lsid:dyntaxa.se:Taxon:231995,Hieracium semicanipes,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,2
urn:lsid:dyntaxa.se:Taxon:231999,Hieracium serratoellipticum,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,7
urn:lsid:dyntaxa.se:Taxon:232010,Hieracium spaniotrichum,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,13
urn:lsid:dyntaxa.se:Taxon:232023,Hieracium steenhoffii,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,1
urn:lsid:dyntaxa.se:Taxon:232067,Hieracium succulentifolium,species,CR,Asteraceae,Asterales,Threatened - Poorly Sampled,1,1,9
urn:lsid:dyntaxa.se:Taxon:231454,Hieracium toerense,species,CR,Asteraceae,Asterales,Threatened - Not in GBIF,,,
urn:lsid:dyntaxa.se:Taxon:777,Hippuris tetraphylla,species,CR,Plantaginaceae,Lamiales,Threatened - Poorly Sampled,1,1,219
urn:lsid:dyntaxa.se:Taxon:101122,Hypocaccus rufipes,species,CR,Histeridae,Coleoptera,Threatened - Poorly Sampled,1,1,2
urn:lsid:dyntaxa.se:Taxon:872,Ilex aquifolium,species,CR,Aquifoliaceae,Aquifoliales,Threatened - Poorly Sampled,1,1,1604
urn:lsid:dyntaxa.se:Taxon:892,Juncus anceps,species,CR,Juncaceae,Poales,Threatened - Poorly Sampled,1,1,144
urn:lsid:dyntaxa.se:Taxon:892,Juncus anceps,species,CR,Juncaceae,Poales,Threatened - Poorly Sampled,1,1,17
urn:lsid:dyntaxa.se:Taxon:904,Koeleria grandis,species,CR,Poaceae,Poales,Threatened - Poorly Sampled,1,1,9
urn:lsid:dyntaxa.se:Taxon:101162,Lacon querceus,species,CR,Elateridae,Coleoptera,Threatened - Poorly Sampled,1,1,6
urn:lsid:dyntaxa.se:Taxon:102130,Lamna nasus,species,CR,Lamnidae,Lamniformes,Threatened - Poorly Sampled,1,1,3
urn:lsid:dyntaxa.se:Taxon:218111,Laona pruinosa,species,CR,Laonidae,Cephalaspidea,Threatened - Poorly Sampled,1,1,2
urn:lsid:dyntaxa.se:Taxon:218113,Laona quadrata,species,CR,Laonidae,Cephalaspidea,Threatened - Poorly Sampled,1,1,19
urn:lsid:dyntaxa.se:Taxon:1115,Lecanographa lyncea,species,CR,Lecanographaceae,Arthoniales,Threatened - Poorly Sampled,1,1,89
urn:lsid:dyntaxa.se:Taxon:1809,Lecanora scanica,species,CR,Lecanoraceae,Lecanorales,Threatened - Poorly Sampled,1,1,17
urn:lsid:dyntaxa.se:Taxon:1813,Lecidea roseotincta,species,CR,Lecideaceae,Lecideales,Threatened - Poorly Sampled,1,1,2
urn:lsid:dyntaxa.se:Taxon:229192,Lecidella xylophila,species,CR,Lecanoraceae,Lecanorales,Threatened - Poorly Sampled,1,1,22
urn:lsid:dyntaxa.se:Taxon:227,Leproplaca proteus,species,CR,Teloschistaceae,Teloschistales,Threatened - Poorly Sampled,1,1,45
urn:lsid:dyntaxa.se:Taxon:101205,Lestica alata,species,CR,Crabronidae,Hymenoptera,Threatened - Poorly Sampled,1,1,2
urn:lsid:dyntaxa.se:Taxon:101223,Lithostege griseata,species,CR,Geometridae,Lepidoptera,Threatened - Poorly Sampled,1,1,94
urn:lsid:dyntaxa.se:Taxon:983,Lobaria amplissima,species,CR,Lobariaceae,Peltigerales,Threatened - Not in GBIF,,,
urn:lsid:dyntaxa.se:Taxon:984,Lobaria hallii,species,CR,Lobariaceae,Peltigerales,Threatened - Poorly Sampled,1,1,35
urn:lsid:dyntaxa.se:Taxon:217890,Lophelia pertusa,species,CR,Caryophyllidae,Scleractinia,Threatened - Not in GBIF,,,
urn:lsid:dyntaxa.se:Taxon:101257,Lytta vesicatoria,species,CR,Meloidae,Coleoptera,Threatened - Poorly Sampled,1,1,139
urn:lsid:dyntaxa.se:Taxon:232131,Macandrevia cranium,species,CR,Zeilleriidae,Terebratulida,Threatened - Poorly Sampled,1,1,136
urn:lsid:dyntaxa.se:Taxon:259206,Mannia triandra,species,CR,Aytoniaceae,Marchantiales,Threatened - Poorly Sampled,1,1,31
urn:lsid:dyntaxa.se:Taxon:2401,Marsupella arctica,species,CR,Gymnomitriaceae,Jungermanniales,Threatened - Poorly Sampled,1,1,6
urn:lsid:dyntaxa.se:Taxon:101279,Megaphyllum sjaelandicum,species,CR,Julidae,Julida,Threatened - Poorly Sampled,1,1,3
urn:lsid:dyntaxa.se:Taxon:101300,Melitaea britomartis,species,CR,Nymphalidae,Lepidoptera,Threatened - Not in GBIF,,,
urn:lsid:dyntaxa.se:Taxon:101299,Melitta melanura,species,CR,Melittidae,Hymenoptera,Threatened - Poorly Sampled,1,1,2
urn:lsid:dyntaxa.se:Taxon:232147,Menegazzia subsimilis,species,CR,Parmeliaceae,Lecanorales,Threatened - Poorly Sampled,1,1,3
urn:lsid:dyntaxa.se:Taxon:1039,Mertensia maritima,species,CR,Boraginaceae,Boraginales,Threatened - Poorly Sampled,1,1,648
urn:lsid:dyntaxa.se:Taxon:1770,Mycoporum antecellens,species,CR,Mycoporaceae,Pleosporales,Threatened - Poorly Sampled,1,1,19
urn:lsid:dyntaxa.se:Taxon:1076,Myriostoma coliforme,species,CR,Geastraceae,Geastrales,Threatened - Poorly Sampled,1,1,12
urn:lsid:dyntaxa.se:Taxon:1394,Nasturtium microphyllum,species,CR,Brassicaceae,Brassicales,Threatened - Poorly Sampled,1,1,138
urn:lsid:dyntaxa.se:Taxon:102692,Nomada facilis,species,CR,Apidae,Hymenoptera,Threatened - Poorly Sampled,1,1,41
urn:lsid:dyntaxa.se:Taxon:217878,Octineon suecicum,species,CR,Octineonidae,Actiniaria,Threatened - Poorly Sampled,1,1,2
urn:lsid:dyntaxa.se:Taxon:229458,Opegrapha cesareensis,species,CR,Opegraphaceae,Arthoniales,Threatened - Poorly Sampled,1,1,1
urn:lsid:dyntaxa.se:Taxon:1128,Orobanche purpurea,species,CR,Orobanchaceae,Lamiales,Threatened - Not in GBIF,,,
urn:lsid:dyntaxa.se:Taxon:1136,Orthotrichum rogeri,species,CR,Orthotrichaceae,Orthotrichales,Threatened - Poorly Sampled,1,1,7
urn:lsid:dyntaxa.se:Taxon:234367,Oxybelus latidens,species,CR,Crabronidae,Hymenoptera,Threatened - Not in GBIF,,,
urn:lsid:dyntaxa.se:Taxon:1149,Pallavicinia lyellii,species,CR,Pallaviciniaceae,Metzgeriales,Threatened - Poorly Sampled,1,1,17
