grid,eeacellcode,last_ym,staleness_months,total_occurrences,priority_reason
grid10km,10kmE441N402,1981-05-01,536,5,Not sampled in 44.7 years
grid10km,10kmE501N404,1981-06-01,535,1,Not sampled in 44.6 years
grid10km,10kmE441N435,1981-07-01,534,9,Not sampled in 44.5 years
grid10km,10kmE490N472,1981-07-01,534,3,Not sampled in 44.5 years
grid10km,10kmE444N425,1981-08-01,533,4,Not sampled in 44.4 years
grid10km,10kmE443N427,1981-08-01,533,7,Not sampled in 44.4 years
grid10km,10kmE495N452,1981-09-01,532,1,Not sampled in 44.3 years
grid10km,10kmE418N417,1982-01-01,528,1,Not sampled in 44 years
grid10km,10kmE455N483,1982-08-01,521,5,Not sampled in 43.4 years
grid10km,10kmE508N295,1982-08-01,521,1,Not sampled in 43.4 years
grid10km,10kmE432N433,1982-08-01,521,1,Not sampled in 43.4 years
grid10km,10kmE451N471,1982-09-01,520,26,Not sampled in 43.3 years
grid10km,10kmE456N485,1982-09-01,520,7,Not sampled in 43.3 years
grid10km,10kmE451N475,1982-09-01,520,28,Not sampled in 43.3 years
grid10km,10kmE453N512,1982-09-01,520,1,Not sampled in 43.3 years
grid10km,10kmE499N479,1982-10-01,519,1,Not sampled in 43.2 years
grid10km,10kmE433N445,1982-11-01,518,2,Not sampled in 43.2 years
grid10km,10kmE487N356,1983-07-01,510,1,Not sampled in 42.5 years
grid10km,10kmE491N340,1983-11-01,506,1,Not sampled in 42.2 years
grid10km,10kmE416N454,1983-12-01,505,1,Not sampled in 42.1 years
grid10km,10kmE489N392,1984-06-01,499,25,Not sampled in 41.6 years
grid10km,10kmE491N392,1984-06-01,499,7,Not sampled in 41.6 years
grid10km,10kmE394N421,1984-07-01,498,1,Not sampled in 41.5 years
grid10km,10kmE509N431,1984-10-01,495,1,Not sampled in 41.2 years
grid10km,10kmE426N512,1985-04-01,489,1,Not sampled in 40.8 years
grid10km,10kmE421N442,1985-05-01,488,1,Not sampled in 40.7 years
grid10km,10kmE491N376,1985-06-01,487,1,Not sampled in 40.6 years
grid10km,10kmE465N510,1985-07-01,486,2,Not sampled in 40.5 years
grid10km,10kmE470N510,1985-07-01,486,60,Not sampled in 40.5 years
grid10km,10kmE466N512,1985-07-01,486,1,Not sampled in 40.5 years
grid10km,10kmE468N512,1985-07-01,486,1,Not sampled in 40.5 years
grid10km,10kmE462N503,1985-07-01,486,1,Not sampled in 40.5 years
grid10km,10kmE461N506,1985-07-01,486,1,Not sampled in 40.5 years
grid10km,10kmE466N514,1985-07-01,486,1,Not sampled in 40.5 years
grid10km,10kmE381N433,1985-07-01,486,1,Not sampled in 40.5 years
grid10km,10kmE426N491,1985-09-01,484,1,Not sampled in 40.3 years
grid10km,10kmE431N505,1985-09-01,484,1,Not sampled in 40.3 years
grid10km,10kmE420N426,1985-09-01,484,1,Not sampled in 40.3 years
grid10km,10kmE466N347,1985-12-01,481,1,Not sampled in 40.1 years
grid10km,10kmE460N515,1986-03-01,478,1,Not sampled in 39.8 years
grid10km,10kmE507N356,1986-03-01,478,1,Not sampled in 39.8 years
grid10km,10kmE416N390,1986-03-01,478,1,Not sampled in 39.8 years
grid10km,10kmE413N416,1986-04-01,477,1,Not sampled in 39.8 years
grid10km,10kmE476N369,1986-06-01,475,1,Not sampled in 39.6 years
grid10km,10kmE537N397,1986-06-01,475,1,Not sampled in 39.6 years
grid10km,10kmE476N376,1986-06-01,475,1,Not sampled in 39.6 years
grid10km,10kmE472N509,1986-07-01,474,85,Not sampled in 39.5 years
grid10km,10kmE469N509,1986-07-01,474,77,Not sampled in 39.5 years
grid10km,10kmE458N503,1986-07-01,474,1,Not sampled in 39.5 years
grid10km,10kmE471N511,1986-07-01,474,73,Not sampled in 39.5 years
grid10km,10kmE465N507,1986-07-01,474,15,Not sampled in 39.5 years
grid10km,10kmE469N510,1986-07-01,474,72,Not sampled in 39.5 years
grid10km,10kmE464N503,1986-07-01,474,35,Not sampled in 39.5 years
grid10km,10kmE470N509,1986-07-01,474,50,Not sampled in 39.5 years
grid10km,10kmE460N501,1986-07-01,474,1,Not sampled in 39.5 years
grid10km,10kmE464N506,1986-07-01,474,1,Not sampled in 39.5 years
grid10km,10kmE470N513,1986-07-01,474,2,Not sampled in 39.5 years
grid10km,10kmE457N494,1986-08-01,473,7,Not sampled in 39.4 years
grid10km,10kmE471N507,1986-08-01,473,102,Not sampled in 39.4 years
grid10km,10kmE467N509,1986-08-01,473,67,Not sampled in 39.4 years
grid10km,10kmE466N508,1986-08-01,473,49,Not sampled in 39.4 years
grid10km,10kmE471N509,1986-08-01,473,72,Not sampled in 39.4 years
grid10km,10kmE484N514,1986-08-01,473,17,Not sampled in 39.4 years
grid10km,10kmE450N466,1986-08-01,473,9,Not sampled in 39.4 years
grid10km,10kmE449N459,1986-08-01,473,8,Not sampled in 39.4 years
grid10km,10kmE448N463,1986-08-01,473,5,Not sampled in 39.4 years
