grid,year,basisofrecord,total_occurrences.x,n_months,n_cells_sampled,total_occurrences.y
grid50km,1900,preservedSpecimen,11113,12,4,7
grid50km,1901,all,10441,12,1,2
grid50km,1901,humanObservation,223,11,0,
grid50km,1901,occurrence,33,3,2,2
grid50km,1901,preservedSpecimen,10185,12,2,5
grid50km,1902,all,13742,12,2,2
grid50km,1902,fossilSpecimen,7,2,1,3
grid50km,1902,humanObservation,365,11,0,
grid50km,1902,materialCitation,1,1,0,
grid50km,1902,materialSample,362,5,0,
grid50km,1902,occurrence,30,6,1,4
grid50km,1902,preservedSpecimen,12977,12,2,2
grid50km,1903,all,13244,12,3,4
grid50km,1903,humanObservation,707,12,0,
grid50km,1903,materialCitation,1,1,1,1
grid50km,1903,materialSample,801,5,0,
grid50km,1903,occurrence,66,6,5,6
grid50km,1903,preservedSpecimen,11669,12,2,3
grid50km,1904,all,13438,12,0,
grid50km,1904,fossilSpecimen,64,1,0,
grid50km,1904,humanObservation,1033,11,0,
grid50km,1904,materialCitation,1,1,0,
grid50km,1904,materialSample,454,5,0,
grid50km,1904,occurrence,11,5,1,3
grid50km,1904,preservedSpecimen,11875,12,0,
grid50km,1905,all,15375,12,1,1
grid50km,1905,fossilSpecimen,140,1,0,
grid50km,1905,humanObservation,1137,12,0,
grid50km,1905,materialSample,476,5,0,
grid50km,1905,occurrence,19,6,1,2
grid50km,1905,preservedSpecimen,13603,12,2,5
grid50km,1906,all,14353,12,0,
grid50km,1906,fossilSpecimen,9,1,0,
grid50km,1906,humanObservation,866,12,0,
grid50km,1906,materialSample,472,5,0,
grid50km,1906,occurrence,27,6,0,
grid50km,1906,preservedSpecimen,12979,12,0,
grid50km,1907,all,14438,12,1,1
grid50km,1907,fossilSpecimen,2,2,0,
grid50km,1907,humanObservation,966,12,0,
grid50km,1907,materialCitation,1,1,0,
grid50km,1907,materialSample,405,4,0,
grid50km,1907,occurrence,69,7,1,1
grid50km,1907,preservedSpecimen,12995,12,1,1
grid50km,1908,all,14376,12,1,1
grid50km,1908,fossilSpecimen,342,2,0,
grid50km,1908,humanObservation,1102,11,0,
grid50km,1908,materialSample,19,1,0,
grid50km,1908,occurrence,13,6,0,
grid50km,1908,preservedSpecimen,12900,12,1,1
grid50km,1909,all,15135,12,1,1
grid50km,1909,fossilSpecimen,274,3,1,1
grid50km,1909,humanObservation,598,12,0,
grid50km,1909,materialSample,29,2,0,
grid50km,1909,occurrence,47,6,2,5
grid50km,1909,preservedSpecimen,14187,12,1,1
grid50km,1910,all,17901,12,3,3
grid50km,1910,fossilSpecimen,9,4,2,5
grid50km,1910,humanObservation,2254,11,0,
grid50km,1910,materialSample,990,9,0,
grid50km,1910,occurrence,22,7,0,
grid50km,1910,preservedSpecimen,14626,12,3,3
grid50km,1911,all,15914,12,2,3
grid50km,1911,fossilSpecimen,2,2,0,
grid50km,1911,humanObservation,786,12,0,
grid50km,1911,materialCitation,1,1,0,
grid50km,1911,materialSample,65,1,0,
grid50km,1911,occurrence,28,9,4,14
grid50km,1911,preservedSpecimen,15032,12,1,2
grid50km,1912,all,18029,12,6,9
grid50km,1912,fossilSpecimen,10,2,1,2
grid50km,1912,humanObservation,504,12,0,
grid50km,1912,materialSample,135,2,0,
grid50km,1912,occurrence,17,8,6,24
grid50km,1912,preservedSpecimen,17363,12,3,4
grid50km,1913,all,20557,12,1,2
grid50km,1913,fossilSpecimen,456,5,1,1
grid50km,1913,humanObservation,552,12,0,
grid50km,1913,materialSample,1,1,0,
grid50km,1913,occurrence,24,8,2,10
grid50km,1913,preservedSpecimen,19524,12,1,2
grid50km,1914,all,19425,12,3,3
grid50km,1914,fossilSpecimen,599,2,0,
grid50km,1914,humanObservation,454,12,0,
grid50km,1914,materialCitation,1,1,1,1
grid50km,1914,occurrence,31,6,2,2
grid50km,1914,preservedSpecimen,18340,12,2,2
grid50km,1915,all,19582,12,2,2
grid50km,1915,fossilSpecimen,5,2,0,
grid50km,1915,humanObservation,598,12,0,
grid50km,1915,occurrence,16,4,2,2
grid50km,1915,preservedSpecimen,18963,12,2,2
grid50km,1916,all,20602,12,0,
grid50km,1916,fossilSpecimen,69,4,2,207
grid50km,1916,humanObservation,391,11,0,
grid50km,1916,materialSample,1,1,0,
grid50km,1916,occurrence,24,7,1,1
grid50km,1916,preservedSpecimen,20117,12,0,
grid50km,1917,all,19610,12,0,
grid50km,1917,fossilSpecimen,70,3,0,
grid50km,1917,humanObservation,666,12,0,
grid50km,1917,materialCitation,1,1,0,
grid50km,1917,occurrence,17,5,0,
grid50km,1917,preservedSpecimen,18856,12,0,
grid50km,1918,all,20076,12,2,2
grid50km,1918,fossilSpecimen,48,2,0,
grid50km,1918,humanObservation,528,12,0,
grid50km,1918,materialCitation,1,1,0,
grid50km,1918,occurrence,11,5,3,3
grid50km,1918,preservedSpecimen,19488,12,2,2
grid50km,1919,all,20448,12,0,
grid50km,1919,fossilSpecimen,86,3,0,
grid50km,1919,humanObservation,1434,12,0,
grid50km,1919,materialCitation,1,1,1,1
grid50km,1919,occurrence,10,5,0,
grid50km,1919,preservedSpecimen,18917,12,1,2
grid50km,1920,all,17526,12,0,
grid50km,1920,fossilSpecimen,128,3,1,1
grid50km,1920,humanObservation,1332,11,0,
grid50km,1920,occurrence,11,5,1,1
grid50km,1920,preservedSpecimen,16055,12,0,
grid50km,1921,all,18029,12,1,1
grid50km,1921,fossilSpecimen,187,1,2,331
grid50km,1921,humanObservation,1199,12,0,
grid50km,1921,materialSample,1,1,0,
grid50km,1921,occurrence,42,7,0,
grid50km,1921,preservedSpecimen,16600,12,1,1
grid50km,1922,all,25482,12,0,
grid50km,1922,fossilSpecimen,177,2,0,
grid50km,1922,humanObservation,1807,12,0,
grid50km,1922,materialCitation,1,1,0,
grid50km,1922,materialSample,1,1,0,
grid50km,1922,occurrence,20,6,0,
grid50km,1922,preservedSpecimen,23476,12,0,
grid50km,1923,all,24197,12,0,
grid50km,1923,fossilSpecimen,437,1,0,
grid50km,1923,humanObservation,2776,12,0,
grid50km,1923,occurrence,67,7,0,
grid50km,1923,preservedSpecimen,20917,12,0,
grid50km,1924,all,21921,12,4,6
grid50km,1924,fossilSpecimen,23,2,0,
grid50km,1924,humanObservation,1340,12,0,
grid50km,1924,occurrence,53,8,3,3
grid50km,1924,preservedSpecimen,20505,12,6,9
grid50km,1925,all,27857,12,2,2
grid50km,1925,fossilSpecimen,8,2,1,3
grid50km,1925,humanObservation,2638,12,0,
grid50km,1925,materialCitation,1,1,0,
grid50km,1925,materialSample,3,2,0,
grid50km,1925,occurrence,114,8,2,2
grid50km,1925,preservedSpecimen,25093,12,3,3
grid50km,1926,all,32392,12,9,12
grid50km,1926,fossilSpecimen,3,1,0,
grid50km,1926,humanObservation,3001,12,0,
grid50km,1926,materialCitation,2,1,0,
grid50km,1926,materialSample,5,2,0,
grid50km,1926,occurrence,111,7,15,16
grid50km,1926,preservedSpecimen,29270,12,4,5
grid50km,1927,all,32423,12,18,25
grid50km,1927,fossilSpecimen,111,5,0,
grid50km,1927,humanObservation,3628,12,0,
grid50km,1927,materialCitation,1,1,0,
grid50km,1927,materialSample,4,3,0,
grid50km,1927,occurrence,175,7,40,54
